VORP,OBP,oppTAv,AVG,TEAM,GS,AGE
9.4,0.304,0.254,0.26,HOU,21,33
-2.5,0.365,0.257,0.34,COL,3,31
-1.3,0.33,0.252,0.274,PHI,0,26
-4.0,0.363,0.264,0.254,TOR,13,24
0.2,0.357,0.251,0.303,CHN,4,28
43.4,0.291,0.252,0.23,WAS,28,23
-2.3,0.7,0.279,0.667,BAL,0,28
21.1,0.327,0.255,0.289,SLN,20,25
0.0,0.394,0.263,0.345,NYA,0,33
-4.6,0.34,0.267,0.304,BOS,18,33
1.9,0.333,0.258,0.271,SLN,16,24
14.7,0.331,0.261,0.285,MIA,31,29
1.1,0.341,0.258,0.257,SFN,33,28
-0.9,0.381,0.259,0.314,NYN,4,25
8.7,0.33,0.262,0.253,COL,0,26
35.8,0.296,0.268,0.241,SEA,33,26
16.5,0.263,0.266,0.19,ARI,0,27
12.2,0.277,0.266,0.202,SEA,0,28
31.0,0.274,0.26,0.222,SFN,32,27
-0.1,0.46,0.25,0.308,WAS,0,35
6.7,0.305,0.256,0.232,CHN,26,25
-1.2,0.545,0.234,0.412,CIN,1,27
3.0,0.385,0.256,0.367,TEX,2,23
-2.5,0.393,0.274,0.321,DET,3,21
4.2,0.332,0.257,0.263,SFN,32,34
-1.2,0.357,0.262,0.291,OAK,0,36
-1.5,0.563,0.269,0.481,HOU,0,37
20.1,0.284,0.255,0.234,SFN,32,22
0.3,0.366,0.258,0.331,ATL,0,37
-0.1,0.308,0.259,0.231,LAN,0,26
2.0,0.343,0.265,0.285,SDN,8,25
3.5,0.3,0.265,0.229,ATL,0,27
-0.1,0.6,0.261,0.5,ARI,0,26
-1.7,0.29,0.254,0.185,CLE,0,30
6.5,0.333,0.265,0.26,SEA,0,21
7.3,0.235,0.267,0.185,SFN,0,29
6.6,0.318,0.264,0.268,CLE,22,24
0.7,0.379,0.259,0.28,PHI,0,25
0.8,0.405,0.275,0.353,KCA,0,32
24.4,0.291,0.255,0.241,NYN,30,25
-1.7,0.39,0.249,0.342,SLN,0,23
6.4,0.361,0.257,0.303,COL,16,24
-2.1,0.304,0.264,0.278,MIA,1,26
9.5,0.288,0.259,0.256,PIT,15,29
7.5,0.349,0.263,0.284,BAL,16,25
1.6,0.303,0.251,0.233,COL,0,25
-4.5,0.321,0.263,0.257,SLN,0,26
-1.4,0.368,0.254,0.23,ARI,4,21
7.9,0.288,0.263,0.228,DET,0,34
3.3,0.224,0.273,0.148,SDN,0,27
-1.3,0.322,0.263,0.264,TOR,0,27
-3.9,0.415,0.258,0.349,CHN,1,24
0.2,0.3,0.262,0.205,SDN,0,26
-0.2,0.308,0.268,0.28,BAL,0,27
-9.7,0.361,0.262,0.286,HOU,16,24
-3.9,0.392,0.257,0.29,NYN,5,41
-1.1,0.301,0.257,0.236,CHN,18,28
-1.3,0.515,0.246,0.464,CLE,0,27
21.4,0.313,0.26,0.278,OAK,31,25
1.0,0.378,0.248,0.333,SFN,1,29
-5.5,0.345,0.256,0.256,SDN,0,23
-0.7,0.407,0.268,0.327,OAK,13,25
1.6,0.296,0.258,0.24,TEX,0,29
7.2,0.304,0.26,0.213,TOR,0,28
1.6,0.368,0.26,0.309,CHN,12,29
12.2,0.254,0.263,0.202,BAL,0,29
3.5,0.358,0.26,0.302,NYA,0,26
7.2,0.243,0.265,0.232,TOR,0,24
3.4,0.385,0.258,0.314,CHN,7,25
0.2,0.328,0.263,0.257,TOR,11,21
-2.6,0.52,0.264,0.5,CHA,1,23
8.5,0.277,0.262,0.222,CLE,0,26
7.3,0.324,0.26,0.266,CHA,0,23
4.5,0.248,0.253,0.16,CIN,0,24
-0.4,0.375,0.255,0.333,SLN,0,27
5.1,0.32,0.256,0.242,WAS,1,29
