Player,BB,G,3B,CS,GIDP,SH,OBP,RBI
J Hoes,30,48,3,0,8,1,0.416,18
J Murphy,11,28,1,0,1,0,0.422,17
Y Kuo,7,25,0,1,1,1,0.327,15
A Acevedo,10,45,2,2,3,2,0.287,11
C Joseph,20,49,2,5,1,2,0.359,18
B King,3,5,0,0,2,0,0.429,0
C Silva,7,22,0,0,2,1,0.41,12
J Hage,0,1,0,0,0,0,0.2,0
B Douglas,3,7,0,0,0,0,0.387,5
H Sanchez,3,7,0,0,0,0,0.174,0
F Pfister,7,38,0,1,6,0,0.281,14
P Cech,4,14,0,0,0,0,0.316,1
T Di Benedetto,8,11,0,0,1,0,0.447,2
R Diaz,2,15,0,0,2,0,0.42,10
L Mateo,13,33,1,1,2,0,0.338,21
J Padron,27,41,0,1,5,3,0.351,20
Y Castillo,6,40,1,3,3,0,0.285,12
J Aponte,8,24,0,0,5,1,0.272,10
Y Hiciano,0,1,0,0,0,0,0.0,0
R Williams,9,23,3,1,1,1,0.358,13
L Palacios,12,43,0,0,2,2,0.319,17
R Tosoni,0,2,0,0,0,0,0.667,3
C Maddox,4,44,0,1,2,1,0.288,22
J Mosquera,13,24,0,4,2,1,0.292,2
J Aguilera,5,25,1,0,1,0,0.338,8
D Killian,15,40,2,0,3,3,0.303,28
A Quiroz,1,6,0,0,1,0,0.217,2
O Marval,6,36,1,0,1,1,0.289,5
D Lehrman,12,40,0,0,2,1,0.293,17
Y Tabares,3,19,0,0,1,0,0.241,1
F Mejia,3,39,0,2,5,4,0.243,15
A Hicks,28,45,4,2,5,1,0.409,27
R Baker,0,1,0,0,0,0,0.0,0
W Rufino,0,5,0,0,1,0,0.176,0
R Vera,14,38,0,1,3,0,0.325,19
D Hale,8,15,1,0,1,0,0.345,2
J Jang,5,15,1,0,2,0,0.304,10
T Binkoski,0,1,0,0,0,0,0.333,0
B Miller,1,4,0,0,0,0,0.154,3
R Ramos,3,18,0,1,0,3,0.306,5
R Martinez,11,46,5,4,1,2,0.261,20
E Manzanillo,25,40,6,6,2,0,0.455,21
I Desmond,0,3,0,0,0,0,0.385,2
C Huang,20,42,0,0,5,0,0.344,14
E Roman,15,42,1,7,0,3,0.315,13
M Pasek,7,37,1,1,0,0,0.281,15
K Wilson,20,51,2,3,0,1,0.319,12
L Mercedes,0,8,0,0,0,1,0.25,2
B McElroy,15,26,1,0,2,0,0.381,8
B Gonzalez,22,37,0,1,2,5,0.331,14
K Fontanez,13,26,0,2,1,1,0.352,8
T Adair,19,51,2,3,0,4,0.355,20
