WAR,RAR,Rbat,WAA,Rbaser,Acquired,Age,Rpos,Rdp,oWAR,dWAR
0.4,4,-3,0.4,0,Traded,37,6,-0,0.4,-0.0
-0.0,0,-2,-0.1,-0,Amateur Free Agent,21,0,-0,-0.1,0.1
-0.1,-1,-3,-0.1,-0,Free Agency,28,2,-0,-0.1,-0.0
-0.4,-3,-8,-0.4,-0,Amateur Draft,27,5,0,-0.3,-0.0
0.1,1,-6,0.1,-0,Free Agency,29,7,0,0.1,-0.0
-0.0,-0,-0,-0.0,0,Traded,27,0,0,-0.0,-0.0
0.2,2,-1,-0.1,0,Free Agency,33,1,-0,0.2,0.1
1.7,18,-2,0.6,2,Free Agency,34,5,-1,1.4,0.9
-0.0,-0,-0,-0.0,0,Amateur Draft,25,0,0,-0.0,0.0
1.8,18,-9,0.8,0,Traded,29,3,1,0.3,1.8
0.1,0,-1,0.0,0,Amateur Draft,27,0,0,-0.1,0.1
0.4,5,-9,-0.0,-1,Free Agency,33,2,1,-0.4,1.0
0.2,2,-4,0.2,-0,Waivers,29,5,0,0.2,-0.0
-0.2,0,-6,-1.1,-0,Free Agency,35,-2,-0,-0.0,-0.4
-0.0,-0,-1,-0.0,0,Free Agency,21,0,0,-0.0,-0.0
0.7,8,-3,0.0,-2,Free Agency,25,-1,1,0.1,0.4
0.1,0,0,0.1,0,Amateur Free Agent,23,1,0,0.1,-0.0
0.0,0,0,0.0,0,Free Agency,34,0,0,0.0,-0.0
-0.5,-3,-12,-1.1,-1,Free Agency,34,3,-0,-0.6,0.4
3.2,33,7,1.1,-4,Purchased,31,-6,2,1.8,0.6
-0.3,-1,-2,-0.9,-1,Free Agency,35,3,-1,0.5,-0.4
-0.2,-1,-3,-0.2,-0,Traded,26,2,0,-0.2,0.0
-0.0,-0,-2,-0.0,-0,Free Agency,32,3,-0,-0.0,-0.0
-1.6,-11,-25,-3.1,-3,Free Agency,28,2,-1,-1.7,0.3
1.2,14,-14,-0.2,1,Traded,24,3,-0,0.1,1.4
-0.3,-1,-7,-1.0,0,Free Agency,33,4,-2,0.2,-0.1
0.0,0,-9,0.0,-0,Amateur Draft,27,9,0,0.0,-0.0
-0.6,-3,-10,-1.5,-2,Traded,25,-2,2,-0.5,-0.4
0.2,2,-0,0.1,0,Amateur Free Agent,23,0,-0,0.1,0.1
-0.4,-3,-7,-0.6,1,Amateur Draft,22,0,1,-0.4,0.0
0.0,0,0,0.0,0,Amateur Draft,30,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,24,0,0,0.0,-0.0
0.0,0,0,0.0,0,Traded,31,0,0,0.0,-0.0
0.9,10,3,-0.3,-0,Free Agency,37,-4,-0,0.9,-0.5
0.1,1,0,0.1,0,Traded,30,0,0,0.1,-0.0
0.9,10,6,0.1,-0,Amateur Free Agent,23,-1,1,1.4,-0.6
-0.0,-0,-0,-0.0,0,Amateur Draft,25,0,0,-0.0,-0.0
-0.3,-3,-8,-0.3,-0,Free Agency,29,6,0,-0.3,-0.0
0.0,0,0,0.0,0,Amateur Draft,28,0,0,0.0,-0.0
0.1,0,-0,0.1,-0,Amateur Draft,24,1,0,0.1,0.0
-0.4,-3,-2,-0.4,0,Waivers,26,-0,0,-0.1,-0.2
0.1,1,-2,0.1,-1,Free Agency,28,3,0,0.1,0.0
0.5,5,1,0.4,0,Free Agency,37,1,-0,0.3,0.3
0.3,4,-0,0.1,-1,Amateur Draft,27,-1,0,0.0,0.2
-0.2,-1,-3,-0.3,0,Free Agency,35,-0,-0,-0.3,0.1
1.4,16,2,-0.7,1,Amateur Draft,28,3,-0,2.6,-0.9
0.2,2,-6,0.2,-0,Free Agency,32,7,0,0.2,-0.0
2.1,23,19,0.3,-3,Amateur Draft,28,-8,1,2.7,-1.5
-0.0,-0,-0,-0.0,0,Amateur Free Agent,22,0,0,-0.0,0.0
0.0,0,0,0.0,0,Free Agency,35,0,0,0.0,-0.0
0.0,0,0,0.0,0,Traded,25,0,0,0.0,-0.0
0.0,0,0,0.0,0,Amateur Draft,24,0,0,0.0,0.0
-0.1,-1,-3,-0.1,-0,Traded,25,2,0,-0.1,-0.0
-0.3,-3,-3,-0.4,-0,Amateur Draft,26,-0,0,-0.3,-0.0
-0.2,-2,-5,-0.2,-0,Free Agency,29,4,0,-0.2,-0.0
0.0,0,0,0.0,0,Amateur Free Agent,25,0,0,0.0,-0.0
2.0,21,23,0.2,3,Free Agency,34,-6,-0,3.8,-2.6
4.9,47,22,3.5,4,Traded,27,-4,1,3.9,0.6
-0.3,-2,-5,-0.5,-0,Conditional Deal,38,1,-1,-0.4,0.2
0.1,1,-8,0.1,-0,Traded,23,10,0,0.1,-0.0
2.3,24,0,0.7,-1,Free Agency,29,-1,-0,1.3,0.8
-0.2,1,7,-1.4,-1,Amateur Draft,27,-5,0,1.3,-2.1
0.0,0,0,0.0,0,Traded,24,0,0,0.0,-0.0
0.0,0,0,0.0,0,Free Agency,37,0,0,0.0,-0.0
0.0,1,-3,-0.2,0,Amateur Draft,25,0,0,-0.1,0.1
6.4,63,34,4.3,3,Amateur Draft,27,4,1,6.6,0.3
0.0,0,0,0.0,0,Amateur Draft,23,0,0,0.0,-0.0
-0.0,-0,-0,-0.0,0,Amateur Free Agent,21,0,0,-0.0,0.0
-0.0,-0,-0,-0.0,0,Amateur Draft,26,0,0,-0.0,0.0
0.0,0,-0,0.0,0,Waivers,28,0,0,0.0,-0.0
0.0,0,0,0.0,0,Rule 5 Draft,25,0,0,0.0,-0.0
0.0,0,0,0.0,0,Free Agency,41,0,0,0.0,-0.0
0.1,1,-1,-0.0,0,Traded,23,0,0,0.1,0.0
-0.7,-5,-7,-1.1,-1,Free Agency,33,-0,0,-0.6,-0.2
3.4,34,12,1.5,-4,Amateur Draft,29,3,0,2.9,0.7
0.0,0,0,0.0,0,Free Agency,32,0,0,0.0,0.0
0.1,1,-0,-0.2,0,Amateur Draft,28,-1,-1,0.1,-0.2
0.7,9,3,-0.5,1,Amateur Draft,26,0,-1,1.6,-0.9
0.6,8,-0,-0.4,-0,Amateur Draft,26,-5,1,0.4,-0.5
3.7,36,9,2.3,-1,Amateur Draft,23,-3,1,2.0,1.4
0.0,0,-0,0.0,0,Free Agency,33,0,0,0.0,-0.0
0.1,1,0,0.1,-0,Free Agency,30,1,0,0.1,-0.0
5.7,55,36,3.7,2,Amateur Draft,23,-8,-1,5.0,-0.3
-1.5,-11,-17,-2.2,-2,Traded,23,4,-1,-1.1,0.0
0.0,0,0,0.0,0,Free Agency,28,0,0,0.0,-0.0
0.0,0,0,0.0,0,Traded,28,0,0,0.0,-0.0
-0.8,-4,-14,-2.0,1,Free Agency,31,5,-0,0.2,-0.5
0.0,0,0,0.0,0,Amateur Draft,26,0,0,0.0,-0.0
-0.2,-0,-11,-1.1,0,Amateur Free Agent,32,4,-1,-0.1,0.3
1.8,21,-4,-0.2,0,Traded,32,4,-1,1.8,0.4
0.0,0,-2,0.0,-0,Free Agency,33,3,-0,0.0,0.0
0.2,2,-7,0.2,-0,Waivers,33,9,1,0.3,-0.0
0.0,0,0,0.0,0,Free Agency,31,0,0,0.0,-0.0
0.0,0,0,0.0,0,Free Agency,31,0,0,0.0,-0.0
0.1,1,-0,0.1,-0,Amateur Draft,24,0,0,0.0,0.1
-0.4,-3,-5,-0.6,-1,Traded,26,-0,0,-0.4,-0.0
0.0,0,0,0.0,0,Free Agency,32,0,0,0.0,0.0
2.4,26,5,0.3,-4,Traded,29,2,-1,2.1,0.3
0.2,1,-3,0.2,0,Amateur Draft,22,5,0,0.2,-0.0
5.0,48,26,3.1,-2,Free Agency,35,-6,-0,3.7,0.6
2.8,29,3,0.6,-3,Traded,23,-9,1,1.0,0.6
0.8,10,5,-0.1,1,Free Agency,31,1,1,1.9,-0.9
0.1,5,-9,-1.4,-2,Amateur Free Agent,29,7,-2,0.8,0.1
0.0,0,0,0.0,0,Free Agency,34,0,0,0.0,-0.0
0.2,2,-2,-0.2,1,Waivers,29,0,-0,0.2,0.0
-0.3,-2,-3,-0.3,0,Amateur Draft,24,-0,0,-0.3,-0.0
0.0,0,0,0.0,0,Traded,22,0,0,0.0,-0.0
