G,Player,R,SLG,SH,RBI,SB,H,SO
36,G Glad,10,.267,2,11,1,21,22
79,Y Rodriguez,38,.393,2,40,20,71,84
46,B Nowlin,21,.388,0,17,0,37,33
47,K Wong,39,.510,0,25,9,65,24
102,T Witherspoon,60,.394,2,42,44,99,103
13,J Becker,2,.244,0,5,0,11,9
126,N Shaw,80,.333,12,40,8,121,82
40,J Paciorek,17,.361,0,14,0,37,35
60,S Domecus,28,.419,1,23,2,58,37
20,M Cerione,6,.213,0,5,3,15,28
97,M Brisker,72,.351,0,33,24,81,112
57,A Gallas,35,.517,0,21,4,65,38
63,T Glaesmann,28,.343,1,21,6,48,85
7,S Irvine,3,.176,0,1,1,3,4
